scenario,n_tagged,survival,migration,p_efish,p_scan,bias_surv,bias_mig,mean_se_surv,mean_se_mig,rmse_surv,rmse_mig
1,500,0.3,0.05,0.3,0.8,0.012921955931512434,0.011291972917188342,0.06856487984061244,0.025034283681777778,0.04147431735317727,0.01689340913445603
2,100,0.3,0.05,0.3,0.8,0.019865859840964974,0.0635719242609827,0.1088142351463352,0.07066549009086745,0.08325988417194516,0.07865397327820989
3,1000,0.3,0.05,0.3,0.8,0.007067863923729233,0.005664290587257538,0.060491716463429206,0.018192862503719757,0.027327200990025335,0.009982211050580557
4,500,0.1,0.05,0.3,0.8,0.007072420611777065,0.01681246420726824,0.0319283005095361,0.04299804388329764,0.02374842224073507,0.0269631993306996
5,500,0.3,0.5,0.3,0.8,0.012272171031009159,-0.0027532205448233113,0.04800820320480396,0.07271302488488703,0.030268956770113604,0.04304885238354308
6,500,0.3,0.05,0.45,0.8,0.00984298616955163,0.009861229923382855,0.054023607668793605,0.023195903741844506,0.02940070845268134,0.01384848041927871
